n_paths,n_steps,basis,degree,reference_method,reference_price,lsmc_price,absolute_error,relative_error,std_error,runtime_seconds,mean_exercise_step,mean_regression_condition,max_regression_condition
1000,25,laguerre,3,binomial_tree_american,6.089860184192256,6.135686378430681,0.045826194238425266,0.007524999401033628,0.22631433392096992,0.006944400000065798,20.507,90058.49895288759,857608.3112219904
3000,25,laguerre,3,binomial_tree_american,6.089860184192256,6.078645539747815,0.011214644444440758,0.0018415274087164024,0.12795233084751084,0.00471560000005411,20.377333333333333,83608.4007556868,893787.3464015536
8000,25,laguerre,3,binomial_tree_american,6.089860184192256,6.1617135039209625,0.07185331972870657,0.011798845549068548,0.08136098641576736,0.011844299999211216,20.86725,82879.97419914155,834468.9893057937
15000,25,laguerre,3,binomial_tree_american,6.089860184192256,6.127903159374619,0.038042975182363215,0.006246937373227911,0.059421853053120366,0.020327000000179396,20.9132,80430.3672870109,785957.1198894533
1000,50,laguerre,3,binomial_tree_american,6.089860184192256,6.2782242413582665,0.18836405716601057,0.030930768764602552,0.23154019647186758,0.004727400000774651,41.481,113494.62299283396,2406750.7554498166
3000,50,laguerre,3,binomial_tree_american,6.089860184192256,6.218379788928269,0.1285196047360131,0.02110386788018839,0.1350607481415756,0.010472399999343907,41.985,117761.96183113914,2425974.742369007
8000,50,laguerre,3,binomial_tree_american,6.089860184192256,6.110027056942168,0.020166872749912024,0.0033115493853635835,0.07879940749506269,0.021868600000743754,41.017125,114324.94554011649,2202441.123917077
15000,50,laguerre,3,binomial_tree_american,6.089860184192256,6.097249735776317,0.0073895515840609605,0.0012134189226942148,0.05835235893082446,0.04067870000108087,41.4214,114224.960396255,2258810.759658833
1000,75,laguerre,3,binomial_tree_american,6.089860184192256,6.359968697205531,0.270108513013275,0.04435381188461579,0.2659283846350901,0.007673399999475805,66.362,162903.2818754977,4581410.585323856
3000,75,laguerre,3,binomial_tree_american,6.089860184192256,6.101892921025304,0.012032736833048396,0.001975864218407239,0.12795480190985972,0.01630709999881219,60.90533333333333,151193.16499910023,4258241.574253106
8000,75,laguerre,3,binomial_tree_american,6.089860184192256,6.0379835007035725,0.05187668348868346,0.008518534403029855,0.07836808962080408,0.039610600000742124,61.36,139999.9379842521,3621191.2308939397
15000,75,laguerre,3,binomial_tree_american,6.089860184192256,6.09445297888558,0.004592794693324187,0.0007541707944701138,0.057433002153267715,0.07718380000005709,61.28953333333333,135693.01418182792,3766698.193149082
