path_id,time,asset_price,variance,volatility,hurst,eta,rho
0,0.0,100.0,0.04000000000000001,0.2,0.1,1.8,-0.7
0,0.008333333333333333,100.03150420537861,0.03017039213017763,0.1736962640075417,0.1,1.8,-0.7
0,0.016666666666666666,100.19682447405243,0.008333348883090622,0.09128717808701627,0.1,1.8,-0.7
0,0.025,99.98732693914312,0.028318139424796565,0.16827994362013723,0.1,1.8,-0.7
0,0.03333333333333333,99.8326972564435,0.045360685824474695,0.2129804822618136,0.1,1.8,-0.7
0,0.041666666666666664,99.92216104302462,0.003891364595171541,0.06238080309816106,0.1,1.8,-0.7
0,0.05,99.42938317256699,0.0032621753422594837,0.0571154562466193,0.1,1.8,-0.7
0,0.058333333333333334,98.94148931107597,0.008267349971234069,0.09092496890972286,0.1,1.8,-0.7
0,0.06666666666666667,97.3548749813398,0.006112717741328634,0.0781838713631439,0.1,1.8,-0.7
0,0.075,97.24129288222201,0.007431892473768899,0.0862084246101789,0.1,1.8,-0.7
0,0.08333333333333333,96.93762193580834,0.003456135454208596,0.05878890587694753,0.1,1.8,-0.7
0,0.09166666666666666,96.47008427758101,0.013308667339473263,0.11536319750888176,0.1,1.8,-0.7
0,0.1,96.70193462596974,0.017111028099945767,0.1308091285038845,0.1,1.8,-0.7
0,0.10833333333333334,97.10876946037703,0.011144956967398027,0.10556967825752822,0.1,1.8,-0.7
0,0.11666666666666667,96.60059870652165,0.029183115002073122,0.1708306617737961,0.1,1.8,-0.7
0,0.125,97.1915440237562,0.022147005586195506,0.14881870039143436,0.1,1.8,-0.7
0,0.13333333333333333,97.54592724869724,0.0068673501612772385,0.08286947665622874,0.1,1.8,-0.7
0,0.14166666666666666,96.8545232990359,0.015091077980296897,0.12284574872699867,0.1,1.8,-0.7
0,0.15,96.837261161955,0.004913227959776965,0.07009442174507872,0.1,1.8,-0.7
0,0.15833333333333333,97.07678178512042,0.019293842746881996,0.13890227768788385,0.1,1.8,-0.7
0,0.16666666666666666,96.95820252315985,0.011131272052235379,0.10550484373826341,0.1,1.8,-0.7
0,0.175,96.43797757676973,0.009262322814172993,0.09624096224671173,0.1,1.8,-0.7
0,0.18333333333333332,96.25299432285318,0.00536060723651404,0.07321616786280227,0.1,1.8,-0.7
0,0.19166666666666665,96.17313697979098,0.025150501645368275,0.15858909686787512,0.1,1.8,-0.7
0,0.2,97.08025672949427,0.010664798995559688,0.10327051367917024,0.1,1.8,-0.7
0,0.20833333333333334,97.1171743246642,0.007404539107684058,0.08604963165338976,0.1,1.8,-0.7
0,0.21666666666666667,97.25256238085835,0.006741400454311022,0.08210603177788475,0.1,1.8,-0.7
0,0.225,97.16469680791342,0.013773533956984106,0.11736070022364431,0.1,1.8,-0.7
0,0.23333333333333334,97.3063782529304,0.014245497173040153,0.11935450210628903,0.1,1.8,-0.7
0,0.24166666666666667,97.47468233493979,0.016346280435330998,0.12785257304931724,0.1,1.8,-0.7
0,0.25,97.50091268585129,0.018330032072659232,0.13538844881547035,0.1,1.8,-0.7
0,0.2583333333333333,98.19294284091465,0.09921292026915056,0.31498082524044313,0.1,1.8,-0.7
0,0.26666666666666666,100.16624143617776,0.01750181912480872,0.13229444102005466,0.1,1.8,-0.7
0,0.275,99.84322168109821,0.011876373369288169,0.1089787748567957,0.1,1.8,-0.7
0,0.2833333333333333,99.5032647039653,0.007082903045906435,0.08415998482596367,0.1,1.8,-0.7
0,0.2916666666666667,98.87078505524535,0.020138016265551225,0.1419084784836735,0.1,1.8,-0.7
0,0.3,98.57927150329013,0.04044552634544713,0.20111073155216538,0.1,1.8,-0.7
0,0.30833333333333335,99.31554767019908,0.017679865626714353,0.13296565581650907,0.1,1.8,-0.7
0,0.31666666666666665,99.24519833813656,0.007923874640537931,0.08901614820097492,0.1,1.8,-0.7
0,0.325,99.07214353663497,0.005834259885836436,0.0763823270517234,0.1,1.8,-0.7
0,0.3333333333333333,98.53188837838465,0.017844381981272868,0.13358286559762397,0.1,1.8,-0.7
0,0.3416666666666667,98.59527190343006,0.025031165416163705,0.1582124060121826,0.1,1.8,-0.7
0,0.35,98.99151839408766,0.02586480028440071,0.16082537201698216,0.1,1.8,-0.7
0,0.35833333333333334,98.96174416582308,0.00945024837081129,0.09721238794933128,0.1,1.8,-0.7
0,0.36666666666666664,98.4679449282815,0.016473159561940138,0.12834780700089946,0.1,1.8,-0.7
0,0.375,98.54636166259365,0.01586716057729966,0.1259649180418884,0.1,1.8,-0.7
0,0.3833333333333333,98.45818706335419,0.017666786507253316,0.1329164643949474,0.1,1.8,-0.7
0,0.39166666666666666,98.67796657478675,0.03390823061555505,0.184141876322457,0.1,1.8,-0.7
0,0.4,98.86013877992495,0.0237599317563014,0.1541425695786255,0.1,1.8,-0.7
0,0.4083333333333333,99.16250239593055,0.03623682738077453,0.19035973151056534,0.1,1.8,-0.7
0,0.4166666666666667,99.67955945437186,0.024044536054617743,0.15506300672506562,0.1,1.8,-0.7
0,0.425,99.7205308331559,0.02786263074329502,0.16692103145887585,0.1,1.8,-0.7
0,0.43333333333333335,99.90555750718752,0.03970639326465283,0.19926463124361238,0.1,1.8,-0.7
0,0.44166666666666665,99.91408016085545,0.006552904921861647,0.08095001495899581,0.1,1.8,-0.7
0,0.45,99.70125566125192,0.01090771563434472,0.10444000973929828,0.1,1.8,-0.7
0,0.4583333333333333,99.42064982730507,0.008793656303881901,0.09377449708679808,0.1,1.8,-0.7
0,0.4666666666666667,99.57126611902657,0.0065882193218254805,0.0811678466008892,0.1,1.8,-0.7
0,0.475,99.20185302539042,0.007756093971827244,0.08806868894123067,0.1,1.8,-0.7
0,0.48333333333333334,98.90264559888264,0.03872387385490567,0.1967838251861816,0.1,1.8,-0.7
