option_kind,total_trades,win_rate,mean_return,median_return,total_pnl,return_on_capital,profit_factor,sharpe_per_trade,max_drawdown,average_holding_days
call,1.0,0.0,-0.021437578814627985,-0.021437578814627985,-16.999999999999993,-0.00016999999999999993,0.0,0.0,0.0,1.0
put,2.0,1.0,0.21069935002771192,0.21069935002771192,266.9999999999999,0.0026699999999999988,inf,2.1025265010265226,0.0,3.5
