step,boundary,time,lsmc_price,std_error
2,86.61913799014438,0.02666666666666667,6.059381377297635,0.04974585822517623
3,84.55893613954252,0.04,6.059381377297635,0.04974585822517623
5,83.7771119897717,0.06666666666666667,6.059381377297635,0.04974585822517623
6,82.72171145674268,0.08,6.059381377297635,0.04974585822517623
7,82.74251006677632,0.09333333333333334,6.059381377297635,0.04974585822517623
8,81.0331356475485,0.10666666666666667,6.059381377297635,0.04974585822517623
9,82.37192846047336,0.12,6.059381377297635,0.04974585822517623
16,70.75461038893775,0.21333333333333335,6.059381377297635,0.04974585822517623
17,82.02296019134786,0.22666666666666666,6.059381377297635,0.04974585822517623
18,73.60221708547307,0.24,6.059381377297635,0.04974585822517623
19,84.64715153312635,0.25333333333333335,6.059381377297635,0.04974585822517623
20,84.9171675934857,0.26666666666666666,6.059381377297635,0.04974585822517623
21,84.28618517650811,0.28,6.059381377297635,0.04974585822517623
22,84.49857521426642,0.29333333333333333,6.059381377297635,0.04974585822517623
23,83.52156669325727,0.30666666666666664,6.059381377297635,0.04974585822517623
24,84.15906906965411,0.32,6.059381377297635,0.04974585822517623
25,84.2695391869605,0.3333333333333333,6.059381377297635,0.04974585822517623
26,84.45052136137772,0.3466666666666667,6.059381377297635,0.04974585822517623
27,84.02935103227887,0.36,6.059381377297635,0.04974585822517623
28,84.36024079838546,0.37333333333333335,6.059381377297635,0.04974585822517623
29,84.34282366746734,0.38666666666666666,6.059381377297635,0.04974585822517623
30,84.2496298947521,0.4,6.059381377297635,0.04974585822517623
31,85.18511611913466,0.41333333333333333,6.059381377297635,0.04974585822517623
32,85.76482182333413,0.4266666666666667,6.059381377297635,0.04974585822517623
33,85.32355992473725,0.44,6.059381377297635,0.04974585822517623
34,85.44734293053465,0.4533333333333333,6.059381377297635,0.04974585822517623
35,85.88635166506975,0.4666666666666667,6.059381377297635,0.04974585822517623
36,85.97247129964613,0.48,6.059381377297635,0.04974585822517623
37,86.09699420818751,0.49333333333333335,6.059381377297635,0.04974585822517623
38,86.44410353602098,0.5066666666666667,6.059381377297635,0.04974585822517623
39,86.07979921981499,0.52,6.059381377297635,0.04974585822517623
40,86.64456692753579,0.5333333333333333,6.059381377297635,0.04974585822517623
41,87.33649841186413,0.5466666666666666,6.059381377297635,0.04974585822517623
42,87.48955935316647,0.56,6.059381377297635,0.04974585822517623
43,87.66899724713186,0.5733333333333334,6.059381377297635,0.04974585822517623
44,87.62086304594241,0.5866666666666667,6.059381377297635,0.04974585822517623
45,87.85932907181775,0.6,6.059381377297635,0.04974585822517623
46,87.28831486962447,0.6133333333333333,6.059381377297635,0.04974585822517623
47,87.58957238168115,0.6266666666666667,6.059381377297635,0.04974585822517623
48,87.66911199683041,0.64,6.059381377297635,0.04974585822517623
49,87.52957907522979,0.6533333333333333,6.059381377297635,0.04974585822517623
50,88.18361107197741,0.6666666666666666,6.059381377297635,0.04974585822517623
51,88.01388690969966,0.68,6.059381377297635,0.04974585822517623
52,87.59212528028628,0.6933333333333334,6.059381377297635,0.04974585822517623
53,88.22386331672888,0.7066666666666667,6.059381377297635,0.04974585822517623
54,87.36506794848997,0.72,6.059381377297635,0.04974585822517623
55,87.19894941116252,0.7333333333333333,6.059381377297635,0.04974585822517623
56,88.14463918422419,0.7466666666666667,6.059381377297635,0.04974585822517623
57,88.37048024084248,0.76,6.059381377297635,0.04974585822517623
58,88.12685018391892,0.7733333333333333,6.059381377297635,0.04974585822517623
59,87.62482239076778,0.7866666666666666,6.059381377297635,0.04974585822517623
60,88.02760899947371,0.8,6.059381377297635,0.04974585822517623
61,88.40154227483039,0.8133333333333334,6.059381377297635,0.04974585822517623
62,88.5707418210161,0.8266666666666667,6.059381377297635,0.04974585822517623
63,89.67093767448824,0.84,6.059381377297635,0.04974585822517623
64,89.52699885086646,0.8533333333333334,6.059381377297635,0.04974585822517623
65,89.58437186307764,0.8666666666666667,6.059381377297635,0.04974585822517623
66,90.05258913017784,0.88,6.059381377297635,0.04974585822517623
67,90.37739237323576,0.8933333333333333,6.059381377297635,0.04974585822517623
68,90.63691917448001,0.9066666666666666,6.059381377297635,0.04974585822517623
69,90.01486059382624,0.92,6.059381377297635,0.04974585822517623
70,90.27422511642494,0.9333333333333333,6.059381377297635,0.04974585822517623
71,91.20434861646449,0.9466666666666667,6.059381377297635,0.04974585822517623
72,91.11934298541766,0.96,6.059381377297635,0.04974585822517623
73,92.25500343595449,0.9733333333333334,6.059381377297635,0.04974585822517623
74,93.20466805769703,0.9866666666666667,6.059381377297635,0.04974585822517623
