basis,degree,n_paths,n_steps,reference_method,reference_price,lsmc_price,absolute_error,relative_error,std_error,runtime_seconds,n_boundary_points,mean_regression_condition,max_regression_condition
polynomial,3,15000,50,binomial_tree_american,6.089860184192256,6.097249735776317,0.0073895515840609605,0.0012134189226942148,0.05835235893082446,0.049455399999715155,44,45991.03043232174,927853.1605020915
hermite,3,15000,50,binomial_tree_american,6.089860184192256,6.097249735776317,0.0073895515840609605,0.0012134189226942148,0.05835235893082446,0.045283999999810476,44,87811.90137511534,1784373.2329933236
laguerre,3,15000,50,binomial_tree_american,6.089860184192256,6.097249735776317,0.0073895515840609605,0.0012134189226942148,0.05835235893082446,0.05475019999903452,44,114224.960396255,2258810.759658833
